Cohort,City,Grade Type,Fellow ID Number,There is a person(s) at Teach For India that shares timely feedback with me on my classroom's progress,My PM consistently shares helpful and timely feedback on my development as a teacher and leader with me,My PM helps me identify opportunities within and beyond TFI that will aid my development as a leader,My PM is an effective mentor to me,"City wide events like the City Conferences, Learning Communities, and workshops aid my development by exposing me to the larger Movement for educational equity","I have access to helpful and timely support, resources and networks via Teach For India to find a suitable post-Fellowship opportunity",There is a sufficient ecosystem for consistent and timely support in my city that I can access for challenges I face while working with the community in which my placement school is located,There is a sufficient ecosystem for consistent and timely support in my city that I can access for the challenges I face while working in my placement school,I find the Career options available to me post Fellowship exciting,"I am growing the capabilities I need (e.g., knowledge, skills, mindsets, values, perspectives, relationships) to play a valuable role in the movement to ensure that all children in this nation have the opportunity to attain an excellent education.",Teach For India has a role to play in ensuring that all children in India attain an excellent education,I believe it is possible for all children in India to attain an excellent education,"I feel comfortable in approaching Senior Management with any concerns, questions or ideas that I have",I am aware of city level and Org level happenings at Teach For India,There is a person(s) I am close to and can draw support from at Teach For India,"I have seen evidence that at Teach For India, everyone works collectively, committing to do what it takes, to provide a quality education to students","I feel my work, when worthy, is aptly recognised and praised at Teach For India",I believe that my colleagues and staff at Teach For India conduct themselves with appropriate levels of professionalism,"In my experience, my views are taken into account and acted upon at Teach for India",I believe there exist apt channels and platforms at Teach for India for me to share feedback/concerns,I feel safe working in my placement school,I feel safe in the community in which in my placement school is located,I feel part of a larger movement that is working to ensure that all children in India attain an excellent education,I believe I have a role to play in ensuring all children attain an excellent education,I have a growing understanding of why all children in India today do not attain an excellent education,I find purpose and meaning in the work I do,I believe that I am effectively contributing to ensuring that all children have the opportunity to attain an excellent education,"Compared to my expectations when I applied, my actual Fellowship experience till date has:"
2017,Hyderabad,Secondary,1001552,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2017,Pune,Secondary,1001553,Agree,Agree,Agree,Agree,na,na,Disagree,Agree,na,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Somewhat fulfilled my expectations
2018,Mumbai,Elementary,1001554,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Mumbai,Secondary,1001555,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Not lived up to my expectations
2018,Pune,Secondary,1001556,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,na,Strongly Agree,Agree,na,Agree,Agree,Strongly Agree,na,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Hyderabad,Secondary,1001557,Disagree,Disagree,Disagree,Disagree,Disagree,na,Disagree,Disagree,na,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2017,Ahmedabad,Secondary,1001558,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2017,Pune,Elementary,1001559,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2017,Delhi,Secondary,1001560,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,na,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Mostly fulfilled my expectations
2018,Bengaluru,Secondary,1001561,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,na,Agree,Agree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Somewhat fulfilled my expectations
2016,Delhi,Secondary,1001562,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Not lived up to my expectations
2017,Bengaluru,Elementary,1001563,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat fulfilled my expectations
2017,Ahmedabad,Elementary,1001564,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Mostly fulfilled my expectations
2018,Ahmedabad,Elementary,1001565,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Somewhat fulfilled my expectations
2017,Delhi,Secondary,1001566,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Exceeded my expectations
2017,Pune,Elementary,1001567,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,na,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Exceeded my expectations
2017,Bengaluru,Elementary,1001568,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,na,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Mostly fulfilled my expectations
2017,Bengaluru,Elementary,1001569,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Somewhat fulfilled my expectations
2018,Delhi,Elementary,1001570,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,na,Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Somewhat fulfilled my expectations
2017,Mumbai,Secondary,1001571,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Chennai,Secondary,1001572,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Mostly fulfilled my expectations
2017,Chennai,Secondary,1001573,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2017,Pune,Secondary,1001574,Disagree,Disagree,Agree,Agree,na,Agree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Pune,Secondary,1001575,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,na,Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2017,Hyderabad,Secondary,1001576,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Not lived up to my expectations
2018,Mumbai,Elementary,1001577,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,na,Agree,Agree,Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Somewhat fulfilled my expectations
2018,Pune,Elementary,1001578,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,na,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat fulfilled my expectations
2017,Delhi,Secondary,1001579,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2018,Bengaluru,Secondary,1001580,Agree,Disagree,Agree,Disagree,Agree,na,Disagree,Strongly Disagree,na,Agree,Disagree,Disagree,na,Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Somewhat fulfilled my expectations
2017,Mumbai,Elementary,1001581,Agree,Agree,Agree,Agree,Disagree,na,Agree,Agree,na,Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Not lived up to my expectations
2018,Pune,Secondary,1001582,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Agree,Agree,na,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Somewhat fulfilled my expectations
2018,Hyderabad,Elementary,1001583,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,na,Strongly Agree,Strongly Agree,na,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Mostly fulfilled my expectations
2018,Delhi,Secondary,1001584,Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Mostly fulfilled my expectations
2017,Pune,Secondary,1001585,Disagree,Agree,Disagree,Agree,na,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,na,Agree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat fulfilled my expectations
2017,Ahmedabad,Elementary,1001586,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,na,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Mostly fulfilled my expectations
2018,Ahmedabad,Elementary,1001587,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Mostly fulfilled my expectations
2018,Delhi,Elementary,1001588,Agree,Strongly Agree,Agree,Agree,Agree,na,Agree,Agree,na,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Mostly fulfilled my expectations
2018,Mumbai,Elementary,1001589,Agree,Agree,Disagree,Agree,Disagree,na,Agree,Disagree,na,Agree,Agree,Disagree,na,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Not lived up to my expectations
2018,Bengaluru,Secondary,1001590,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Mostly fulfilled my expectations
2017,Pune,Secondary,1001591,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Exceeded my expectations
2018,Delhi,Elementary,1001592,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2018,Pune,Secondary,1001593,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2017,Mumbai,Secondary,1001594,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Exceeded my expectations
2018,Bengaluru,Secondary,1001595,Agree,Agree,Strongly Agree,Disagree,Agree,na,Strongly Disagree,Strongly Disagree,na,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Somewhat fulfilled my expectations
2017,Hyderabad,Elementary,1001596,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Somewhat fulfilled my expectations
2017,Pune,Secondary,1001597,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Exceeded my expectations
2017,Pune,Secondary,1001598,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2017,Hyderabad,Secondary,1001599,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Not lived up to my expectations
2018,Hyderabad,Secondary,1001600,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Bengaluru,Secondary,1001601,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat fulfilled my expectations
2017,Hyderabad,Secondary,1001602,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Chennai,Secondary,1001603,Disagree,Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,na,Agree,Agree,Agree,na,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Mostly fulfilled my expectations
2017,Ahmedabad,Elementary,1001604,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Mostly fulfilled my expectations
2017,Mumbai,Secondary,1001605,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,na,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Exceeded my expectations
2018,Ahmedabad,Secondary,1001606,Agree,Agree,Agree,Disagree,Agree,na,Agree,Strongly Disagree,na,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Mostly fulfilled my expectations
2018,Bengaluru,Secondary,1001607,Agree,Disagree,Disagree,Disagree,Agree,na,Disagree,Disagree,na,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Somewhat fulfilled my expectations
2018,Ahmedabad,Elementary,1001608,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Somewhat fulfilled my expectations
2017,Delhi,Secondary,1001609,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Mostly fulfilled my expectations
2018,Delhi,Secondary,1001610,Agree,Agree,Agree,Agree,Agree,na,Agree,Agree,na,Agree,Agree,Agree,na,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat fulfilled my expectations
2017,Delhi,Secondary,1001611,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,na,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Somewhat fulfilled my expectations
2018,Pune,Elementary,1001612,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,na,Strongly Agree,Agree,na,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Mostly fulfilled my expectations
2018,Delhi,Elementary,1001613,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,na,Disagree,Agree,Disagree,na,Disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Not lived up to my expectations
2018,Chennai,Secondary,1001614,Agree,Agree,Strongly Agree,Agree,Agree,na,Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat fulfilled my expectations
2018,Pune,Elementary,1001615,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,na,Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,Mostly fulfilled my expectations
2017,Delhi,Secondary,1001616,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Somewhat fulfilled my expectations
2017,Chennai,Secondary,1001617,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Mostly fulfilled my expectations
2017,Chennai,Elementary,1001618,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat fulfilled my expectations
2017,Mumbai,Secondary,1001619,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Mostly fulfilled my expectations
2018,Chennai,Secondary,1001620,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,na,Agree,Agree,Agree,na,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Not lived up to my expectations
2017,Mumbai,Secondary,1001621,Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,na,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Somewhat fulfilled my expectations
2018,Mumbai,Secondary,1001622,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Somewhat fulfilled my expectations
2018,Pune,Secondary,1001623,Disagree,Disagree,Disagree,Agree,na,na,Disagree,Disagree,Agree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Somewhat fulfilled my expectations
2017,Hyderabad,Secondary,1001624,Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Mostly fulfilled my expectations
2017,Hyderabad,Secondary,1001625,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat fulfilled my expectations
2018,Ahmedabad,Secondary,1001626,Disagree,Agree,Agree,Strongly Agree,Agree,na,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Exceeded my expectations
2018,Pune,Secondary,1001627,Agree,Strongly Agree,Agree,Strongly Agree,Agree,na,Disagree,Agree,na,Disagree,Strongly Agree,Agree,na,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Somewhat fulfilled my expectations
